date,n_factors,n_clusters,n_survivors,n_final,max_size,min_size,median_size,n_singletons,n_le2,top1_pct,top3_pct,sizes
2012-12-31,228,18,43,43,66,1,3,3,8,28.947368421052634,57.45614035087719,66|44|21|21|17|16|16|7|4|3|2|2|2|2|2|1|1|1
2013-03-31,228,18,43,43,84,1,5,4,7,36.84210526315789,65.78947368421053,84|43|23|21|15|7|6|5|5|5|4|2|2|2|1|1|1|1
2013-06-30,229,18,44,44,102,1,3,3,7,44.54148471615721,69.43231441048034,102|30|27|14|12|8|8|7|4|3|3|2|2|2|2|1|1|1
2013-09-30,229,18,48,48,72,1,3,2,4,31.4410480349345,60.698689956331876,72|34|33|30|12|11|6|6|4|3|3|3|3|3|2|2|1|1
2013-12-31,225,18,44,44,110,1,4,3,7,48.888888888888886,76.44444444444444,110|47|15|11|5|5|5|5|4|4|3|2|2|2|2|1|1|1
2014-03-31,225,18,42,42,73,1,3,4,8,32.44444444444444,72.88888888888889,73|68|23|21|6|5|5|5|4|3|2|2|2|2|1|1|1|1
2014-06-30,227,18,48,48,79,1,3,1,5,34.801762114537446,69.60352422907489,79|51|28|20|9|8|4|4|3|3|3|3|3|2|2|2|2|1
2014-09-30,227,18,49,49,70,1,3,1,4,30.837004405286343,65.63876651982379,70|51|28|26|12|6|6|3|3|3|3|3|3|3|2|2|2|1
2014-12-31,226,18,41,41,99,1,3,4,9,43.80530973451327,66.3716814159292,99|27|24|20|15|12|6|5|4|2|2|2|2|2|1|1|1|1
2015-03-31,226,18,44,44,71,1,3,2,8,31.41592920353982,66.8141592920354,71|47|33|18|14|11|8|4|3|3|2|2|2|2|2|2|1|1
2015-06-30,226,18,46,46,87,1,5,2,6,38.49557522123894,66.8141592920354,87|36|28|15|14|8|6|6|5|5|3|3|2|2|2|2|1|1
2015-09-30,226,18,45,45,117,1,3,3,6,51.76991150442478,72.12389380530973,117|27|19|13|10|8|5|5|4|3|3|3|2|2|2|1|1|1
2015-12-31,224,18,47,47,125,1,3,2,5,55.80357142857143,75.0,125|29|14|13|5|5|5|4|4|3|3|3|3|2|2|2|1|1
2016-03-31,224,18,47,47,118,1,3,2,5,52.67857142857143,73.21428571428571,118|30|16|12|10|5|5|5|3|3|3|3|3|2|2|2|1|1
2016-06-30,223,18,45,45,79,1,3,3,6,35.42600896860987,73.09417040358744,79|56|28|13|11|6|6|3|3|3|3|3|2|2|2|1|1|1
2016-09-30,223,18,46,46,90,1,3,3,5,40.35874439461883,73.99103139013454,90|46|29|13|11|5|4|3|3|3|3|3|3|2|2|1|1|1
2016-12-31,223,18,40,40,128,1,2,4,10,57.399103139013455,78.9237668161435,128|30|18|11|8|5|4|3|2|2|2|2|2|2|1|1|1|1
2017-03-31,223,18,44,44,106,1,3,2,8,47.53363228699551,69.95515695067265,106|30|20|13|11|10|8|4|4|3|2|2|2|2|2|2|1|1
2017-06-30,223,18,42,42,95,1,3,4,8,42.600896860986545,74.43946188340807,95|40|31|15|7|7|6|4|3|3|2|2|2|2|1|1|1|1
2017-09-30,223,18,42,42,145,1,2,3,9,65.02242152466367,82.51121076233184,145|32|7|7|5|3|3|3|3|2|2|2|2|2|2|1|1|1
2017-12-31,223,18,40,40,151,1,2,3,11,67.71300448430493,83.85650224215246,151|30|6|6|5|3|3|2|2|2|2|2|2|2|2|1|1|1
2018-03-31,223,18,39,39,149,1,2,4,11,66.81614349775785,83.85650224215246,149|30|8|6|6|3|3|2|2|2|2|2|2|2|1|1|1|1
2018-06-30,224,18,41,41,152,1,2,4,9,67.85714285714286,83.48214285714286,152|30|5|5|4|4|4|3|3|2|2|2|2|2|1|1|1|1
2018-09-30,224,18,44,44,152,1,3,3,7,67.85714285714286,83.03571428571429,152|29|5|4|4|4|3|3|3|3|3|2|2|2|2|1|1|1
2018-12-31,225,18,45,45,146,1,3,2,7,64.88888888888889,82.22222222222221,146|32|7|5|4|4|3|3|3|3|3|2|2|2|2|2|1|1
2019-03-31,225,18,43,43,145,1,3,3,8,64.44444444444444,83.11111111111111,145|36|6|5|4|4|3|3|3|3|2|2|2|2|2|1|1|1
2019-06-30,225,18,42,42,151,1,2,1,11,67.11111111111111,82.66666666666667,151|30|5|5|5|4|4|2|2|2|2|2|2|2|2|2|2|1
2019-09-30,225,18,44,44,150,1,2,1,9,66.66666666666666,82.22222222222221,150|29|6|5|5|4|3|3|3|2|2|2|2|2|2|2|2|1
2019-12-31,226,18,38,38,151,1,2,5,11,66.8141592920354,84.95575221238938,151|33|8|6|4|4|3|2|2|2|2|2|2|1|1|1|1|1
2020-03-31,226,18,37,37,150,1,2,7,10,66.3716814159292,86.72566371681415,150|38|8|4|4|3|3|3|2|2|2|1|1|1|1|1|1|1
2020-06-30,226,18,43,43,153,1,3,4,7,67.69911504424779,82.7433628318584,153|29|5|5|4|4|4|3|3|3|3|2|2|2|1|1|1|1
2020-09-30,226,18,44,44,178,1,3,3,7,78.76106194690266,83.1858407079646,178|5|5|4|4|4|3|3|3|3|3|2|2|2|2|1|1|1
2020-12-31,225,18,43,43,154,1,2,2,9,68.44444444444444,84.0,154|30|5|5|3|3|3|3|3|2|2|2|2|2|2|2|1|1
2021-03-31,225,18,41,41,116,1,2,4,9,51.55555555555556,81.33333333333333,116|60|7|7|6|6|3|3|3|2|2|2|2|2|1|1|1|1
2021-06-30,224,18,38,38,171,1,2,5,11,76.33928571428571,86.16071428571429,171|17|5|4|4|3|3|2|2|2|2|2|2|1|1|1|1|1
2021-09-30,224,18,37,37,173,1,2,4,13,77.23214285714286,87.05357142857143,173|17|5|4|3|2|2|2|2|2|2|2|2|2|1|1|1|1
2021-12-31,224,18,40,40,107,1,2,4,10,47.767857142857146,84.82142857142857,107|71|12|4|4|4|3|3|2|2|2|2|2|2|1|1|1|1
2022-03-31,224,18,35,35,177,1,2,6,13,79.01785714285714,87.94642857142857,177|16|4|4|3|2|2|2|2|2|2|2|1|1|1|1|1|1
2022-06-30,225,18,39,39,177,1,2,4,11,78.66666666666666,86.66666666666667,177|15|3|3|3|3|3|2|2|2|2|2|2|2|1|1|1|1
2022-09-30,225,18,40,40,101,1,2,3,11,44.888888888888886,86.22222222222223,101|77|16|3|3|3|3|2|2|2|2|2|2|2|2|1|1|1
2022-12-31,224,18,37,37,176,1,2,4,13,78.57142857142857,86.60714285714286,176|14|4|4|4|2|2|2|2|2|2|2|2|2|1|1|1|1
2023-03-31,224,18,37,37,177,1,2,5,12,79.01785714285714,86.60714285714286,177|13|4|4|4|3|2|2|2|2|2|2|2|1|1|1|1|1
2023-06-30,223,18,36,36,97,1,2,6,12,43.49775784753363,86.54708520179372,97|80|16|5|4|3|2|2|2|2|2|2|1|1|1|1|1|1
2023-09-30,223,18,36,36,98,1,2,6,12,43.946188340807176,86.99551569506725,98|80|16|5|3|3|2|2|2|2|2|2|1|1|1|1|1|1
2023-12-31,223,18,37,37,102,1,2,5,12,45.73991031390135,87.4439461883408,102|88|5|3|3|3|2|2|2|2|2|2|2|1|1|1|1|1
2024-03-31,223,18,39,39,93,1,2,5,10,41.70403587443946,84.75336322869956,93|83|13|5|5|3|3|3|2|2|2|2|2|1|1|1|1|1
2024-06-30,226,18,37,37,98,1,2,6,11,43.36283185840708,86.72566371681415,98|85|13|4|4|3|3|2|2|2|2|2|1|1|1|1|1|1
2024-09-30,226,18,35,35,97,1,2,7,12,42.92035398230089,88.05309734513274,97|87|15|4|3|3|2|2|2|2|2|1|1|1|1|1|1|1
2024-12-31,226,18,38,38,96,1,2,6,10,42.47787610619469,85.39823008849558,96|83|14|6|4|3|3|3|2|2|2|2|1|1|1|1|1|1
2025-03-31,226,18,38,38,95,1,2,6,10,42.0353982300885,85.39823008849558,95|84|14|6|4|3|3|3|2|2|2|2|1|1|1|1|1|1
2025-06-30,227,18,35,35,94,1,2,8,11,41.409691629955944,87.66519823788546,94|92|13|4|4|3|3|2|2|2|1|1|1|1|1|1|1|1
2025-09-30,227,18,33,33,95,1,1,9,12,41.85022026431718,88.54625550660793,95|94|12|4|4|3|2|2|2|1|1|1|1|1|1|1|1|1
2025-12-31,227,18,42,42,93,1,3,4,8,40.969162995594715,83.70044052863436,93|85|12|6|4|3|3|3|3|3|2|2|2|2|1|1|1|1
2026-03-31,227,18,39,39,100,1,2,6,9,44.052863436123346,86.34361233480176,100|84|12|4|3|3|3|3|3|2|2|2|1|1|1|1|1|1
