,EW_CAGR_50_mp,EW_CAGR_50_ew,EW_CAGR_50_mp_cum,EW_TSTAT_50_mp,EW_TSTAT_50_ew,EW_TSTAT_50_mp_cum,EW_CAGR_20_mp,EW_CAGR_20_ew,EW_CAGR_20_mp_cum,EW_TSTAT_20_mp,EW_TSTAT_20_ew,EW_TSTAT_20_mp_cum
2020-12-31,0.06352536873539656,0.06438627814818342,1.0635253687353965,0.03578062808828214,0.03545401416442667,1.0357806280882822,0.05468777740062077,0.06457236958815926,1.0546877774006207,0.028538492723615524,0.030128228644056242,1.0285384927236154
2021-01-31,0.03896475597665889,0.03943493815595184,1.1049653752031574,0.02557975906480183,0.024807895818028045,1.0622756469987698,0.03450507398594448,0.03811989719728679,1.0910798571919005,0.021192303890361495,0.020537332028776126,1.0503355930243485
2021-02-28,-0.03837278168331933,-0.03887791791145711,1.0625647800928595,-0.019413810778958696,-0.01959347259134087,1.0416528285928397,-0.036234614975331494,-0.04173080749892742,1.0515449986592122,-0.0168484097404219,-0.01865119129512074,1.0326391085881252
2021-03-31,-0.021800147517346533,-0.022507467394952893,1.0394007111400982,-0.014924074398076392,-0.01604867901592234,1.0261071242819535,-0.030322249100658245,-0.03361443056571496,1.0196597892693162,-0.014374406647206303,-0.014534584522502452,1.0177955341214708
2021-04-30,0.04026181154786818,0.04047382949587714,1.081248866694741,0.01806836510132754,0.01864168982361182,1.0446472024365532,0.054672100607337244,0.06531128078596994,1.0754067318535045,0.01729063526143183,0.019522930819741324,1.0353938654726795
2021-05-31,-0.0004930140395129974,4.0452293246897724e-05,1.0807157958232532,-0.0031752867244803766,-0.0024824534339946973,1.0413301480428907,0.0001318877596671428,0.0019413311459938114,1.0755485648380998,0.002196083020374391,0.0029483482131139683,1.0376676763600439
2021-06-30,0.029173973768290017,0.030067198811806542,1.1122445701015775,0.014799504576041927,0.015049732981265112,1.0567413183340217,0.030714425416116624,0.039147468486798696,1.108583421014231,0.010025237577708724,0.010794628534505833,1.0480705413422624
2021-07-31,0.02069926286633484,0.02263803328851957,1.1352672128297638,0.0038276594930160774,0.004236827027069701,1.0607861642728051,0.02110335978167173,0.035704234493867525,1.1319782557958906,-0.004789562919245597,-0.003950671973081058,1.0430507415406958
2021-08-31,-0.010995236977064133,-0.009310964337989171,1.1227846807924093,-0.00995169105432349,-0.010009526647969788,1.0502295480912613,-0.02212441409832611,-0.0034454405882734947,1.1069339001143614,-0.013164447909626058,-0.012671229521742771,1.0293195543865865
2021-09-30,-0.03795746269513447,-0.04058720013913109,1.080166623156563,-0.028575511245316126,-0.028816587979422503,1.0202187018296163,-0.03967240836021057,-0.05431828097122114,1.063019166401264,-0.026536053440697357,-0.02822990766777319,1.0020054756838292
2021-10-31,0.008630193665721209,0.010050484472532834,1.089488670305652,0.001829862698492998,0.0014145841088047282,1.022085561976399,0.0059115592411396,0.015758535035531228,1.069303267177912,0.0014559963016112067,-0.001304924866103789,1.003464391950619
2021-11-30,-0.00886713375020063,-0.009423248638601951,1.0798280285467237,-0.00369745451596157,-0.004003198156024232,1.0183064470995704,-0.011721206310975183,-0.015526796933847325,1.0567697429743197,-0.007303960939818992,-0.007612144834487712,0.9961351272273125
2021-12-31,-0.044711022944350864,-0.048068811109168975,1.031547812786418,-0.017746082106786968,-0.017859365315135097,1.000235497279471,-0.05039135064455382,-0.07021813055220975,1.0035176883055457,-0.018006320987341423,-0.01859847038764679,0.9781983983796912
2022-01-31,-0.027569205270250006,-0.028726999928542614,1.0031088593896318,-0.013052189259574036,-0.013062912570853798,0.987180234264835,-0.025667372085710637,-0.03669229547000204,0.977760026405215,-0.015112626423812425,-0.014978962697191536,0.9634152514166073
2022-02-28,0.021708193426681417,0.02330272553104016,1.0248845405372797,0.010179076879444197,0.010233788465271463,0.9972288177632846,0.023302097766721458,0.033982638873709003,1.0005438861329015,0.0106841426366172,0.011208009456843773,0.9737085173810347
2022-03-31,0.003734676632949808,0.003678007455427391,1.0287121528822958,-0.0012270059310648751,-0.0012068806907886101,0.9960052120892603,0.0061480946024792,0.006772166539019651,1.0066953245987786,-0.0034038251815592642,-0.002341224543545506,0.9703941838100745
2022-04-30,-0.001244116084812477,-0.0015944371680786725,1.0274323155462528,0.0037228282036071573,0.003732102337558697,0.999713168383766,-0.007341654741925025,-0.0024612151940630544,0.9993045150952642,-0.0014913050489519337,-0.00029628086310115804,0.968947030064285
2022-05-31,-0.003024735411580457,-0.0038223455648174675,1.024324604638418,0.004645008203969372,0.004631857865997631,1.0043568442525248,0.002425650721543185,-0.008770413240703014,1.0017284788133465,8.804527936294828e-05,0.0009023261440167619,0.9690323412762349
2022-06-30,0.0051353355441419455,0.0003643726711797132,1.0295848551893567,0.01413770534680696,0.01444970144726913,1.018556145379616,-0.0015812825337798739,-0.01665499792533258,1.000144463066209,0.002289870012135221,0.0042476487459316105,0.9712512993753125
2022-07-31,-0.00727341354919292,-0.004799522332216074,1.0220962587535785,-0.004420856609646551,-0.004269481229049633,1.0140532547120185,-0.0019413694389748006,0.0032817522693173195,0.9982028131710524,-0.005714895594199708,-0.005458702388718311,0.9657006996036518
2022-08-31,-0.0019219315430398871,-0.0017123259359907521,1.020131859713857,-0.00245749438244449,-0.0021833250502208525,1.0115612245350643,-0.006858042411534908,-0.0073567354334456115,0.9913570959430119,0.0010497634732629035,-0.00017451635061435205,0.9667144569242001
2022-09-30,-0.0013730199657725286,0.00013435498166222608,1.0187311983027492,-0.0013049434987985103,-0.0015742228448436518,1.0102411942914706,0.004149937380860167,0.006565080326104639,0.9954711658132469,0.005950796979696653,0.0047842064725803195,0.9724671783946937
2022-10-31,-0.014969433052369899,-0.014036191789953306,1.0034813698313956,-0.009750799233161557,-0.010397176998498252,1.0003905352288651,-0.01717612464169355,-0.019338422741766507,0.9783728289920265,-0.008331565976880314,-0.008426592293289637,0.9643650039375476
2022-11-30,-0.009929542087271762,-0.012363156741713446,0.9935172593358615,-0.00543572880277032,-0.007752373138664397,0.9949526835825028,-0.025672881052584265,-0.030481277930558125,0.9532551797282338,-0.00031702208012455426,-0.003774485010539623,0.964059278938
2022-12-31,-0.010440718175289252,-0.010233834374739882,0.9831442256288501,-0.004938593627742929,-0.005144093727287898,0.9900390165994565,-0.003650889062205683,-0.004689437275207039,0.9497749508190731,-0.005871381483715034,-0.006355333002044041,0.9583989191384398
2023-01-31,0.008103062951663574,0.007150394491783218,0.9911107051796852,0.008094474794606753,0.008083529667532847,0.998052862464998,0.01062171404986364,0.005648651172993279,0.9598631887583967,0.006948843896267981,0.0069592327769723294,0.9650586836178847
2023-02-28,-0.00971964336681926,-0.008934491150372058,0.9814774625883019,-0.009208938577442595,-0.009489759522677587,0.988861854957517,-0.025060095699700743,-0.016813402880245153,0.9358089253894915,-0.001649185530528497,-0.0016517552254036254,0.9634671228007512
2023-03-31,-0.011887688440261633,-0.013281215630971979,0.9698099643019136,-0.012882689874203546,-0.012882689874203547,0.9761226543516696,-0.016693828580294695,-0.019385097140697628,0.9201866916051296,-0.007904035341637078,-0.007904035341637078,0.9558518446116286
2023-04-30,-0.0039835863855611124,-0.0019699900897440703,0.9659466425315391,-0.004365462966998592,-0.004365462966998593,0.971861427052849,-0.003335999030518842,-0.0030556854667414214,0.9171169496940385,-0.0046680587642600165,-0.0046680587642600165,0.9513898720310552
2023-05-31,0.004982001474579188,0.00586567479361731,0.970758990128996,0.00033586871465770293,0.00033586871465770315,0.9721878449011786,0.004785768878227563,0.007529515712069874,0.9215060594495792,0.0008900985925347212,0.0008900985925347212,0.9522367028171017
2023-06-30,0.002506003608049999,0.0031160962289743417,0.9731917156608062,0.007495976689642404,0.007463433252904813,0.9794753423245114,-0.0018289519756672441,0.0003783611745425729,0.9198206691215596,0.0027732822695524036,0.0017242918488036985,0.9548775239814413
2023-07-31,-0.0019415266734876182,-0.0013991402404792018,0.9713022379864336,-0.001935439228074797,-0.002085855526231795,0.9775796273240445,0.0015732950451221293,0.003949520835878422,0.9212678184226895,0.0011082592980237035,0.0018337946930597668,0.9559357758758675
2023-08-31,0.008035828043824328,0.011599408852334046,0.9791074557494743,0.0033929687772355417,0.0035149406529547543,0.9808965244768165,0.002699754623102257,0.014438578552191817,0.9237550154745914,0.005839227411804559,0.005949219665077445,0.9615177022622866
2023-09-30,-2.8102879360906367e-05,-0.00019406156198639813,0.979079940010764,0.0018059667140726482,0.0018059667140726487,0.9826679909499711,-0.0026445906257962872,0.00017639056669145918,0.921312061620135,0.0013873782219962598,0.0007211244040115836,0.9628516909824691
2023-10-31,-0.012122372682189832,-0.013903134018383792,0.9672111680922975,-0.009590070108528893,-0.009590070108528895,0.9732441360233537,-0.005948582991734955,-0.013452339777487415,0.9158315603603012,-0.005472551921154534,-0.004993836902214996,0.9575824351111962
2023-11-30,0.002017463226310367,0.003651527683088469,0.9691624810560003,0.001392147066989458,0.0013921470669894579,0.9745990349927833,0.005152058722276951,0.010113403415811158,0.920549978338992,0.002139418045805176,0.0013145400236534927,0.9596311042532192
2023-12-31,0.0013572531271682292,-4.631424055911521e-05,0.9704778798641477,-0.001134182789315605,-0.0011341827893156047,0.9734936615408109,-0.002733370719032198,-0.005472271278973849,0.9180337739827944,0.00269370826063011,0.0020789067828129483,0.9622160704859037
2024-01-31,0.025823843197653247,0.026140964359945992,0.9955393484605504,0.0282506254801519,0.028250625480151902,1.0009954663803022,0.027182829080021825,0.031193649642158337,0.942988529150656,0.015184373447815713,0.016956164807016276,0.9768267186376514
2024-02-29,0.01373582068144475,0.014151009142539618,1.009213898432327,0.00414276023922049,0.0041427602392204894,1.0051423505980626,0.009078926872551178,0.011912712778940546,0.9515498530484693,0.0038822001362120847,0.0033724070919371476,0.980618955457802
2024-03-31,0.009369565785892693,0.011954933760979246,1.018669794445726,0.013457718455474355,0.013555361387833843,1.0186692733600848,0.014043798679409554,0.019544626316832934,0.9649132276181037,0.008758636563956574,0.009251350278498225,0.9892078404963834
2024-04-30,0.014420532056958547,0.014718276765559955,1.0333595548719858,0.015439378488033879,0.015421421400654918,1.0343968938256216,0.02217037796147739,0.02046531255758384,0.9863057185744262,0.014864723725089304,0.015557408132327633,1.0039121417520545
2024-05-31,-0.0027640325215851714,-0.0046759989235077475,1.030503315455829,0.00041460466275811304,0.000355626950744336,1.0348257596009443,-0.006314558793828862,-0.010714422516898237,0.9800776331257983,0.0018184607181791056,0.0022060036504945113,1.0057377165463335
2024-06-30,0.030885171107001685,0.03382177261796747,1.0623305866800148,0.02212289760736715,0.022380083969778496,1.0577191039220617,0.029450550377424112,0.048517020710918124,1.0089414588339563,0.015614607137332499,0.01695009820372855,1.0214419158734023
2024-07-31,-0.019876782673799165,-0.019691351263575862,1.0412148724808465,-0.01487368829409793,-0.014889307470173736,1.0419869196676124,-0.019734500384656406,-0.026378908815927478,0.9890305032265018,-0.015562321903903685,-0.015017924349859912,1.0055459079724403
2024-08-31,0.009519272786030972,0.012060570829154491,1.051126480880864,0.0062961408044401165,0.006359005469275036,1.0485474160302246,0.004220369782833226,0.01568480786541791,0.9932045776766192,0.004486081111169185,0.004553949965061164,1.010056868476609
2024-09-30,-0.03476629998203989,-0.054825534994690235,1.014582702327494,-0.024947236131022447,-0.02647920970009626,1.0223890560479452,-0.027521140654538666,-0.06253476999489932,0.9658704547956493,-0.024710167404757725,-0.0270427450515626,0.9850981941682265
2024-10-31,-0.009407783243186193,-0.008507005986306368,1.0050377281817109,-0.00915396885648972,-0.008911619978231668,1.0130301384696665,0.013861870750094945,-0.002283166566984229,0.9792592262013621,-0.0017424726205438191,-0.0010475880064770352,0.9833816875363413
2024-11-30,-0.024730734379906742,-0.024972799231952506,0.9801824070842642,-0.02214909799518818,-0.021864638107870024,0.9905924346606229,-0.02248831683467663,-0.02728383456207097,0.9572373344592655,-0.01881338245707858,-0.018995648802361233,0.9648809517474328
2024-12-31,0.019834667992567334,0.02418670150923154,0.9996239997009361,0.016803744651461984,0.01680374465146198,1.00723809698633,0.012026276206328807,0.02303391885166892,0.9687493350384826,0.006710741397018441,0.007461230299609224,0.9713560182935189
2025-01-31,0.006165393681660961,0.006398981814432368,1.005787075192729,0.010398506311789183,0.010398506311789178,1.0177118686953168,0.002237753705949671,0.0031149739482043033,0.9709171574531013,0.00532118405988273,0.006978453228672052,0.9765247824545337
2025-02-28,-0.00678801506467079,-0.006437381760109807,0.9989597773744695,-0.003626060436880135,-0.0036260604368801353,1.0140215839520974,-0.0010879448460493464,-0.0019740697072311215,0.9698608531357092,0.006136345611900031,0.004684798386580795,0.9825170760182603
2025-03-31,0.013739151531897597,0.01440476279422498,1.0126846371300882,0.015283899170978806,0.015283899170978802,1.0295197875984174,0.016045416759826993,0.015206520569971751,0.985422674723313,0.011071142022903655,0.010887977532424636,0.9933946621067866
2025-04-30,0.00487592886464423,0.005240564661986584,1.0176224153830526,0.0019237161577677305,0.0019237161577677303,1.031500291448562,0.012483991212111578,0.012427446247093086,0.9977246827347743,0.005364680492535296,0.005523436594765623,0.9987239070719797
2025-05-31,-0.005499612392692428,-0.004663441985926644,1.0120258865363303,-0.0031075355429165006,-0.0031075355429165006,1.028294867630357,-0.005110457778694249,-0.0033349100973030683,0.9926258528688972,-0.004096314046422676,-0.003011804838138455,0.9946328203029426
2025-06-30,0.0015282753349698428,0.000813906992730644,1.0135725407370748,0.0010184203495664467,0.0013564029549063433,1.0293421040489064,0.0014011724937217935,0.0033429988309160523,0.9940166929104941,0.003389090169480054,-3.520341835956155e-05,0.9980037206164735
2025-07-31,-0.009725903583786248,-0.014550323568293643,1.0037146319306929,-0.0024963944732067827,-0.0023756139681929958,1.0267724601093196,-0.0037987489888514202,-0.009394921134390149,0.9902406730033989,0.0021131725353318825,0.0014142820125378015,1.0001126746690392
2025-08-31,0.0072387778316914475,0.008920689809399626,1.010980299157657,0.010652119016038247,0.011271391111163017,1.0377097625567944,-0.009905921757614906,0.006221336317115007,0.9804314263754192,0.014223191277946507,0.008526788153327048,1.0143374685403557
2025-09-30,0.01407459690191801,0.015397128355755933,1.0252094393440816,0.009613047022095813,0.010674025337063305,1.0476853152995407,0.022599372167971473,0.026205793065155487,1.0025885610652523,0.016098251393166958,0.02352355783445481,1.030666528106427
2025-10-31,-0.0029620296687939236,-0.002335303722199959,1.0221727385680168,0.001544940948656977,0.0018803989235429328,1.0493039272444535,-0.0010888557680566726,0.0011390948688027053,1.0014968867275489,-7.688421607648742e-05,0.0019905820563212175,1.0305872861183771
2025-11-30,-0.00953161815612045,-0.010108668514753607,1.0124297783343905,-0.004800634767436551,-0.005304249709822699,1.044266602329716,-0.01426407060233254,-0.017269560338953154,0.9872114644272508,-0.009083078348414072,-0.009866928636779758,1.0212263810536846
2025-12-31,0.009039067630373104,0.011141499526611233,1.0215811995717587,0.008411755454772553,0.008898634139185792,1.0530507176180997,0.019815134591718478,0.021521345067475765,1.0067731924653645,0.00325796368572073,0.007821553572746267,1.0245534995180574
2026-01-31,0.0009170856569516827,0.0017938330039399247,1.0225180770372975,-0.0031879161722724817,-0.0028695409575488096,1.0496936802051817,-0.005766059733138771,0.005835213197749521,1.0009680780998862,-0.008297816484084725,-0.0020549602297379524,1.0160519426009298
2026-02-28,0.0034549096116006247,0.0044689110590737675,1.026050784569689,-0.001122375819310537,-0.0007618930277388298,1.0485155294008364,-0.003743798720756853,0.004841910402788764,0.9972206550895775,0.00381331201357174,0.006877703836238374,1.0199264656800628
2026-03-31,-0.00490160617460112,-0.0020710292644896965,1.0210214877085877,0.003314118461790289,0.003803501828622967,1.0519904340742974,-0.012143404999192578,0.0022588152726151457,0.9851110008012647,-0.005554839410463913,-0.0007750443597957415,1.014260937952728
